time_epoch,time,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition.text,condition.icon,condition.code,name,region,country,lat,lon,tz_id,localtime_epoch,localtime
1701525600,2023-12-02 09:00,6.0,42.8,1,4.7,7.6,226,SW,1018.0,30.05,0.0,0.0,97,100,4.2,39.6,4.2,39.6,6.0,42.8,5.6,42.1,0,0,0,0,2.0,1.0,8.1,13.0,2.0,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701529200,2023-12-02 10:00,6.3,43.3,1,4.7,7.6,215,SW,1018.0,30.06,0.0,0.0,95,100,4.9,40.8,4.9,40.8,6.3,43.3,5.6,42.1,0,0,0,0,10.0,6.0,7.6,12.2,2.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701532800,2023-12-02 11:00,7.3,45.1,1,5.6,9.0,234,SW,1018.0,30.06,0.0,0.0,92,100,5.9,42.7,5.9,42.7,7.3,45.1,6.1,43.0,0,0,0,0,10.0,6.0,8.4,13.6,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701536400,2023-12-02 12:00,7.5,45.5,1,5.4,8.6,235,SW,1018.0,30.06,0.0,0.0,92,100,6.2,43.1,6.2,43.1,7.5,45.5,6.3,43.4,0,0,0,0,10.0,6.0,7.7,12.4,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701540000,2023-12-02 13:00,8.2,46.8,1,6.0,9.7,229,SW,1017.0,30.04,0.0,0.0,89,99,6.9,44.4,6.9,44.4,8.2,46.8,6.5,43.7,0,0,0,0,10.0,6.0,8.5,13.8,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701543600,2023-12-02 14:00,8.3,46.9,1,5.6,9.0,229,SW,1017.0,30.03,0.0,0.0,90,86,7.0,44.7,7.0,44.7,8.3,46.9,6.8,44.2,0,0,0,0,10.0,6.0,8.2,13.2,2.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,1006,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701547200,2023-12-02 15:00,8.5,47.3,1,5.4,8.6,218,SW,1017.0,30.03,0.0,0.0,89,92,7.0,44.7,7.0,44.7,8.5,47.3,6.9,44.4,0,0,0,0,10.0,6.0,8.4,13.6,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701550800,2023-12-02 16:00,8.9,48.0,1,4.0,6.5,221,SW,1017.0,30.02,0.0,0.0,89,100,7.6,45.6,7.6,45.6,8.9,48.0,7.2,45.0,0,0,0,0,10.0,6.0,6.9,11.2,2.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701554400,2023-12-02 17:00,8.8,47.8,0,4.3,6.8,219,SW,1017.0,30.02,0.0,0.0,92,100,7.5,45.4,7.5,45.4,8.8,47.8,7.6,45.6,0,0,0,0,10.0,6.0,7.9,12.7,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701558000,2023-12-02 18:00,8.6,47.5,0,3.6,5.8,237,WSW,1017.0,30.03,0.0,0.0,95,100,7.6,45.6,7.6,45.6,8.6,47.5,7.9,46.1,0,0,0,0,10.0,6.0,6.9,11.1,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701561600,2023-12-02 19:00,8.5,47.3,0,4.0,6.5,253,WSW,1018.0,30.06,0.0,0.0,96,100,7.3,45.1,7.3,45.1,8.5,47.3,7.9,46.2,0,0,0,0,10.0,6.0,8.0,12.8,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701565200,2023-12-02 20:00,7.9,46.2,0,2.0,3.2,238,WSW,1018.0,30.06,0.0,0.0,97,100,6.8,44.3,6.8,44.3,7.9,46.2,7.4,45.3,0,0,0,0,10.0,6.0,4.1,6.6,1.0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,1030,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701568800,2023-12-02 21:00,11.1,51.9,0,1.1,1.8,231,SW,1017.0,30.02,0.0,0.0,89,35,11.1,51.9,11.1,51.9,11.1,51.9,9.3,48.7,0,0,0,0,10.0,6.0,2.3,3.6,1.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701572400,2023-12-02 22:00,11.0,51.8,0,0.4,0.7,101,ESE,1016.0,30.01,0.0,0.0,89,75,11.0,51.8,11.0,51.8,11.0,51.8,9.3,48.8,0,0,0,0,10.0,6.0,0.9,1.4,1.0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,1006,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701576000,2023-12-02 23:00,7.9,46.2,0,0.7,1.1,89,E,1018.0,30.05,0.0,0.0,97,100,7.6,45.7,7.6,45.7,7.9,46.2,7.5,45.5,0,0,0,0,10.0,6.0,1.3,2.1,1.0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701579600,2023-12-03 00:00,10.9,51.6,0,3.4,5.4,91,E,1015.0,29.98,0.0,0.0,89,67,10.7,51.2,10.7,51.2,10.9,51.6,9.2,48.6,0,0,0,0,10.0,6.0,6.5,10.5,1.0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,1006,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701583200,2023-12-03 01:00,10.8,51.4,0,2.9,4.7,99,E,1015.0,29.97,0.0,0.0,90,52,10.8,51.4,10.8,51.4,10.8,51.4,9.2,48.5,0,0,0,0,10.0,6.0,5.6,9.0,1.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701586800,2023-12-03 02:00,7.3,45.1,0,4.3,6.8,86,E,1017.0,30.02,0.0,0.0,98,100,5.7,42.2,5.7,42.2,7.3,45.1,7.0,44.6,0,0,0,0,10.0,6.0,8.0,12.9,1.0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,1135,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701590400,2023-12-03 03:00,10.5,51.0,0,5.4,8.6,89,E,1014.0,29.94,0.0,0.0,93,100,9.5,49.1,9.5,49.1,10.5,51.0,9.4,48.9,0,0,0,0,10.0,6.0,9.9,15.9,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701594000,2023-12-03 04:00,10.5,50.8,0,6.3,10.1,74,ENE,1013.0,29.91,0.16,0.01,95,91,9.2,48.5,9.2,48.5,10.5,50.8,9.7,49.5,1,73,0,0,2.0,1.0,11.1,17.9,1.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,1153,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701597600,2023-12-03 05:00,7.0,44.6,0,6.5,10.4,76,ENE,1015.0,29.96,2.15,0.08,97,100,4.4,39.9,4.4,39.9,7.0,44.6,6.6,43.9,0,66,0,0,9.0,5.0,11.0,17.7,1.0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701601200,2023-12-03 06:00,10.4,50.7,0,8.7,14.0,86,E,1011.0,29.84,0.45,0.02,98,100,8.5,47.3,8.5,47.3,10.4,50.7,10.0,50.0,1,79,0,0,2.0,1.0,14.0,22.6,1.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,1153,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701604800,2023-12-03 07:00,10.4,50.7,0,8.1,13.0,80,E,1010.0,29.83,2.27,0.09,98,100,8.6,47.6,8.6,47.6,10.4,50.7,10.1,50.2,1,73,0,0,9.0,5.0,12.9,20.8,1.0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701608400,2023-12-03 08:00,6.7,44.1,1,9.2,14.8,81,E,1015.0,29.98,11.81,0.46,98,100,4.2,39.6,4.2,39.6,6.7,44.1,6.5,43.6,1,76,0,0,2.0,1.0,14.8,23.8,2.0,Heavy rain,//cdn.weatherapi.com/weather/64x64/day/308.png,1195,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701612000,2023-12-03 09:00,10.5,50.9,1,8.3,13.3,81,E,1009.0,29.79,1.54,0.06,98,100,8.7,47.7,8.7,47.7,10.5,50.9,10.3,50.5,1,83,0,0,9.0,5.0,13.4,21.6,3.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701615600,2023-12-03 10:00,10.8,51.4,1,7.8,12.6,87,E,1008.0,29.76,1.57,0.06,99,100,9.1,48.5,9.1,48.5,10.8,51.4,10.5,51.0,1,83,0,0,9.0,5.0,12.8,20.6,3.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701619200,2023-12-03 11:00,6.9,44.4,1,5.6,9.0,56,ENE,1013.0,29.92,6.21,0.24,97,100,3.4,38.1,3.4,38.1,6.9,44.4,6.5,43.6,1,82,0,0,9.0,5.0,9.2,14.8,2.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701622800,2023-12-03 12:00,10.9,51.7,1,6.9,11.2,60,ENE,1006.0,29.7,1.63,0.06,99,100,9.6,49.2,9.6,49.2,10.9,51.7,10.7,51.3,1,82,0,0,9.0,5.0,11.0,17.7,3.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701626400,2023-12-03 13:00,11.0,51.8,1,7.4,11.9,64,ENE,1004.0,29.64,1.37,0.05,98,100,9.5,49.2,9.5,49.2,11.0,51.8,10.8,51.4,1,82,0,0,9.0,5.0,11.6,18.7,3.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701630000,2023-12-03 14:00,7.8,46.0,1,7.8,12.6,67,ENE,1011.0,29.84,3.95,0.16,91,100,4.8,40.7,4.8,40.7,7.8,46.0,6.5,43.7,0,63,0,0,10.0,6.0,12.6,20.2,2.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701633600,2023-12-03 15:00,10.7,51.3,1,6.7,10.8,74,ENE,1001.0,29.57,0.4,0.02,99,100,9.4,48.9,9.4,48.9,10.7,51.3,10.5,50.9,1,81,0,0,2.0,1.0,10.9,17.6,3.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,1153,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701637200,2023-12-03 16:00,10.7,51.2,1,1.8,2.9,44,NE,1001.0,29.56,1.55,0.06,99,100,10.7,51.2,10.7,51.2,10.7,51.2,10.6,51.0,1,77,0,0,9.0,5.0,3.1,5.0,3.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701640800,2023-12-03 17:00,7.2,45.0,0,1.3,2.2,191,SSW,1009.0,29.8,0.0,0.0,98,100,4.6,40.2,4.6,40.2,7.2,45.0,6.9,44.4,0,0,0,0,0.0,0.0,2.3,3.8,1.0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701644400,2023-12-03 18:00,11.0,51.8,0,6.0,9.7,241,WSW,1000.0,29.54,1.91,0.08,99,100,9.9,49.8,9.9,49.8,11.0,51.8,10.9,51.7,1,78,0,0,9.0,5.0,10.4,16.7,1.0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,1183,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
1701648000,2023-12-03 19:00,11.2,52.1,0,9.6,15.5,270,W,1001.0,29.56,0.01,0.0,98,79,9.3,48.8,9.3,48.8,11.2,52.1,10.8,51.5,0,53,0,0,10.0,6.0,16.2,26.0,1.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,New York,New York,United States of America,40.71,-74.01,America/New_York,1701478815,2023-12-01 20:00
